date,open,high,low,close,volume,amount,turnover_rate
2024-08-07,27.67,27.76,27.25,27.3,157695,432486990.9,1.3
2024-08-08,27.3,27.55,26.98,27.31,119515,325840695.58,0.99
2024-08-09,27.42,27.58,26.9,26.9,122343,332127360.49,1.01
2024-08-12,27.02,27.1,26.56,26.62,84069,224359535.33,0.7
2024-08-13,26.61,27.32,26.24,27.16,134546,360635444.22,1.11
2024-08-14,26.98,27.55,26.58,26.59,108073,290122417.01,0.89
2024-08-15,26.37,26.83,25.97,26.57,144731,382196977.54,1.2
2024-08-16,26.55,26.94,26.32,26.35,116975,310432489.56,0.97
2024-08-19,26.28,26.86,26.06,26.54,106535,282857123.19,0.88
2024-08-20,26.7,27.56,26.61,26.97,290413,789178603.33,2.4
2024-08-21,26.61,27.86,26.3,27.4,303272,826462870.66,2.51
2024-08-22,27.47,27.54,26.5,26.5,179641,482710193.94,1.49
2024-08-23,26.31,26.48,25.41,25.52,200062,515133751.92,1.66
2024-08-26,25.53,26.95,25.53,26.39,245000,650347059.84,2.03
2024-08-27,26.39,26.47,25.7,26.04,142168,369827937.64,1.18
2024-08-28,25.88,25.99,25.46,25.97,110291,283991656.49,0.91
2024-08-29,25.77,26.66,25.34,26.39,192044,500302985.9,1.59
2024-08-30,26.3,27.84,26.21,27.33,382958,1048624287.03,3.17
2024-09-02,27.19,27.58,26.1,26.1,222978,595120348.42,1.84
2024-09-03,26.1,27.27,25.72,26.6,251319,667867648.21,2.08
2024-09-04,26.48,26.97,26.31,26.35,178096,473534638.05,1.47
2024-09-05,26.35,27.36,26.28,26.7,200815,540869372.01,1.66
2024-09-06,26.62,26.78,26.19,26.22,111650,294285055.12,0.92
2024-09-09,26.01,26.41,25.51,25.7,173039,446400560.63,1.43
2024-09-10,25.87,25.89,24.9,25.31,193840,488714490.14,1.6
2024-09-11,25.99,27.84,25.67,27.84,741377,2010100894.93,6.13
2024-09-12,27.76,28.18,27.0,27.06,502732,1385271565.16,4.16
2024-09-13,26.92,27.3,25.52,25.58,427550,1110969562.99,3.54
2024-09-18,25.5,25.69,24.99,25.4,214723,541252985.96,1.78
2024-09-19,25.53,26.08,25.07,25.76,233519,597642484.85,1.93
2024-09-20,25.72,25.72,25.25,25.49,154799,393392401.42,1.28
2024-09-23,25.46,25.85,25.26,25.58,134212,343211922.33,1.11
2024-09-24,25.9,27.55,25.72,27.51,551895,1480459986.94,4.57
2024-09-25,27.8,28.35,27.45,27.51,465520,1299862300.83,3.85
2024-09-26,27.36,28.54,27.25,28.53,355619,993883083.27,2.94
2024-09-27,29.26,31.38,29.23,31.34,753939,2317919817.93,6.24
2024-09-30,33.42,34.47,32.38,34.47,970730,3264747135.82,8.03
2024-10-08,37.92,37.92,35.26,37.92,1029147,3839451286.4,8.51
2024-10-09,37.0,37.81,34.13,34.13,820357,2929618238.55,6.79
2024-10-10,34.0,34.91,33.36,33.54,491288,1679187972.26,4.06
2024-10-11,33.13,33.3,31.15,31.6,406956,1299508732.8,3.37
2024-10-14,31.61,32.09,30.82,31.96,339181,1070425108.0,2.81
